# name,soilcrust
# scan_id,143557
# sampled_at,2020-06-04T14:35:57.418+03:00
wavelength_nm,reflectance
1042,0.5194713057895178
1043,0.5194914224349392
1044,0.5196957231363706
1045,0.5200586855753881
1046,0.5204146958538759
1047,0.5206379361199265
1048,0.5207858111439254
1049,0.5208555583142459
1050,0.5209671974583664
1051,0.521264453136549
1052,0.521629108921804
1053,0.5219004871298016
1054,0.5220115586552002
1055,0.5220167938129096
1056,0.5219703457719264
1057,0.5220388640819362
1058,0.5221131150967374
1059,0.5221834098776653
1060,0.5221108774331936
1061,0.5216891852176031
1062,0.5215347217910234
1063,0.5218214610835862
1064,0.5225490009531282
1065,0.52347309642487
1066,0.5244745334667877
1067,0.5250114655547625
1068,0.5249696069586041
1069,0.5245931915460663
1070,0.5245100208928913
